MIST	
Room	ID	Volume	Net Lettable	Circulation	Occupancy	Floor - Ground	Floor - Upper	Floor - Total	Floor - Void	Floor - Win	Floor - Door	Floor - Hole	Floor - WinCount	Floor - DoorCount	Floor - HoleCount	Roof - Gross	Roof - Net	Roof - Win	Roof - Door	Roof - Hole	Roof - WinCount	Roof - DoorCount	Roof - HoleCount	Ceiling	Ext. Wall - Gross	Ext. Wall - Net	Ext. Wall - Win	Ext. Wall - Door	Ext. Wall - Hole	Ext. Wall - WinCount	Ext. Wall - DoorCount	Ext. Wall - HoleCount	Ext. Wall - Adj	Partition - Gross	Partition - Net	Partition - Win	Partition - Door	Partition - Hole	 Partition - DoorCount	 Partition - WinCount	 Partition - HoleCount	
hi-bay#	HBY_0167	113.0890	 32.3110	 0.0000	 0	 32.3110	 0.0000	 32.3110	 0.0000	 0.0000	 0.0000	 0.0000	 0	 0	 0	 12.2020	 12.2020	 0.0000	 0.0000	 0.0000	 0	 0	 0	 20.1100	 50.2470	 8.3550	 41.8920	 0.0000	 0.0000	 3	 0	 0	 29.3970	 29.3970	 29.3970	 0.0000	 0.0000	 0.0000	 0	 0	 0	 
hi-bay#	HBY_0168	1000.8000	 285.9430	 0.0000	 0	 159.9850	 125.9580	 285.9430	 0.0000	 0.0000	 0.0000	 0.0000	 0	 0	 0	 59.2310	 59.2310	 0.0000	 0.0000	 0.0000	 0	 0	 0	 226.7120	 122.4270	 20.3570	 102.0700	 0.0000	 0.0000	 3	 0	 0	 130.6440	 131.9650	 130.6440	 1.3210	 0.0000	 0.0000	 0	 1	 0	 
hi-bay#	HBY_0169	66.0390	 18.8680	 0.0000	 0	 18.8680	 0.0000	 18.8680	 0.0000	 0.0000	 0.0000	 0.0000	 0	 0	 0	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0	 0	 0	 18.8690	 18.9670	 18.9670	 0.0000	 0.0000	 0.0000	 0	 0	 0	 43.3390	 43.3390	 43.3390	 0.0000	 0.0000	 0.0000	 0	 0	 0	 
hi-bay#	HBY_0170	24.6050	 7.0300	 0.0000	 0	 7.0300	 0.0000	 7.0300	 0.0000	 0.0000	 0.0000	 0.0000	 0	 0	 0	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0	 0	 0	 7.0300	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0	 0	 0	 47.0140	 47.0140	 47.0140	 0.0000	 0.0000	 0.0000	 0	 0	 0	 
hi-bay#	HBY_0171	35.1610	 10.0460	 0.0000	 0	 10.0460	 0.0000	 10.0460	 0.0000	 0.0000	 0.0000	 0.0000	 0	 0	 0	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0	 0	 0	 10.0460	 8.9740	 8.9740	 0.0000	 0.0000	 0.0000	 0	 0	 0	 36.4000	 36.4000	 36.4000	 0.0000	 0.0000	 0.0000	 0	 0	 0	 
hi-bay#	HBY_0172	39.1520	 11.1860	 0.0000	 0	 11.1860	 0.0000	 11.1860	 0.0000	 0.0000	 0.0000	 0.0000	 0	 0	 0	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0	 0	 0	 11.1860	 9.9930	 9.9930	 0.0000	 0.0000	 0.0000	 0	 0	 0	 37.4190	 37.4190	 37.4190	 0.0000	 0.0000	 0.0000	 0	 0	 0	 
hi-bay#	HBY_0173	77.7290	 22.2080	 0.0000	 0	 1.5410	 20.6670	 22.2080	 0.0000	 0.0000	 0.0000	 0.0000	 0	 0	 0	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0	 0	 0	 22.2080	 53.6990	 53.6990	 0.0000	 0.0000	 0.0000	 0	 0	 0	 40.1470	 40.1470	 40.1470	 0.0000	 0.0000	 0.0000	 0	 0	 0	 
hi-bay#	HBY_0174	73.2360	 20.9250	 0.0000	 0	 20.9250	 0.0000	 20.9250	 0.0000	 0.0000	 0.0000	 0.0000	 0	 0	 0	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0	 0	 0	 20.9250	 33.1600	 33.1600	 0.0000	 0.0000	 0.0000	 0	 0	 0	 33.1600	 33.1600	 33.1600	 0.0000	 0.0000	 0.0000	 0	 0	 0	 
hi-bay#	HBY_0175	34.5240	 9.8640	 0.0000	 0	 9.8640	 0.0000	 9.8640	 0.0000	 0.0000	 0.0000	 0.0000	 0	 0	 0	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0	 0	 0	 9.8640	 22.1180	 22.1180	 0.0000	 0.0000	 0.0000	 0	 0	 0	 22.1180	 22.1180	 22.1180	 0.0000	 0.0000	 0.0000	 0	 0	 0	 
hi-bay#	HBY_0176	162.9020	 46.5430	 0.0000	 0	 46.5430	 0.0000	 46.5430	 0.0000	 0.0000	 0.0000	 0.0000	 0	 0	 0	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0	 0	 0	 46.5420	 40.2100	 40.2100	 0.0000	 0.0000	 0.0000	 0	 0	 0	 56.7170	 56.7170	 56.7170	 0.0000	 0.0000	 0.0000	 0	 0	 0	 
